post_id,Post link,post_text,hook,hook_len,created_date,day_of_week,week,is_midweek,Post type,format_inferred,Content Type,is_article,Impressions,Views,Clicks,Likes,Comments,Reposts,reactions_total,engagements_total,engagement_rate,ctr,amplification_rate,conversation_rate,char_count,word_count,line_breaks,hashtag_count,hashtag_list,has_link,mention_count,emoji_count,has_question,cta_type,theme,length_band
7353807081222631424,https://www.linkedin.com/feed/update/urn:li:activity:7353807081222631424,"We’ve partnered with NGI to transform K-12 grant management across the U.S. with a secure, end-to-end platform. Read more: https://lnkd.in/dCgybfEY

#GrantsNow #K12Education #GrantManagement #OracleCloud #EdTech #PublicSector","We’ve partnered with NGI to transform K-12 grant management across the U.S. with a secure, end-to-end platform. Read mor",120,2025-07-23,Wednesday,2025-07-21/2025-07-27,1,Organic,Image or text,,False,671,,18,26,2,3,31,49,0.07302533532041729,0.026825633383010434,0.004470938897168405,0.0029806259314456036,225,26,2,6,"GrantsNow, K12Education, GrantManagement, OracleCloud, EdTech, PublicSector",1,0,0,0,read,other,Short (25-60w)
7353893840178626561,https://www.linkedin.com/feed/update/urn:li:activity:7353893840178626561,Exciting times ahead as we expand into the US market with NGI partnership,Exciting times ahead as we expand into the US market with NGI partnership,73,2025-07-23,Wednesday,2025-07-21/2025-07-27,1,Organic,Image or text,,False,262,,7,8,0,0,8,15,0.05725190839694656,0.026717557251908396,0.0,0.0,73,13,0,0,,0,0,0,0,none,other,Very short (<25w)
7354133293874749442,https://www.linkedin.com/feed/update/urn:li:activity:7354133293874749442,"Announcement!!  GrantsNow Forms Strategic Partnership with @NGI  to Transform K–12 Grant Management in the U.S.

We are thrilled to announce this partnership,  focused on delivering a modern, end-to-end grant management platform tailored for K–12 school districts across the United States. 

Read more here on our partnerships page: https://lnkd.in/dCgybfEY

#GrantsNow #NGI #K12 #Grantsmanagement",Announcement!!  GrantsNow Forms Strategic Partnership with @NGI  to Transform K–12 Grant Management in the U.S.,111,2025-07-24,Thursday,2025-07-21/2025-07-27,1,Organic,Image or text,,False,311,,10,10,0,0,10,20,0.06430868167202572,0.03215434083601286,0.0,0.0,397,52,6,4,"GrantsNow, NGI, K12, Grantsmanagement",1,1,0,0,read,other,Short (25-60w)
7354507238436147201,https://www.linkedin.com/feed/update/urn:li:activity:7354507238436147201,"Just reminding you about the partnership between Fusion Practices and Unit4, which brought GrantsNow to life as a modern solution for managing the full pre-awards funding process. You can read more about it here: https://lnkd.in/dg6pjWF9","Just reminding you about the partnership between Fusion Practices and Unit4, which brought GrantsNow to life as a modern",120,2025-07-25,Friday,2025-07-21/2025-07-27,0,Organic,Image or text,,False,549,,39,19,0,0,19,58,0.10564663023679417,0.07103825136612021,0.0,0.0,237,35,0,0,,1,0,0,0,read,other,Short (25-60w)
7356665639140229120,https://www.linkedin.com/feed/update/urn:li:activity:7356665639140229120,"Just reminding you about the partnership between Fusion Practices and Unit4, which brought GrantsNow to life as a modern solution for managing the full pre-awards funding process. ","Just reminding you about the partnership between Fusion Practices and Unit4, which brought GrantsNow to life as a modern",120,2025-07-31,Thursday,2025-07-28/2025-08-03,1,Organic,Article,Article,True,529,174.0,22,14,1,0,15,37,0.06994328922495274,0.04158790170132325,0.0,0.001890359168241966,180,27,0,0,,0,0,0,0,none,other,Short (25-60w)
7360680910905589760,https://www.linkedin.com/feed/update/urn:li:activity:7360680910905589760,"Managing integrations, reports, and configurations in-house can drain valuable time and resources. With GrantsNow, you don’t have to. Our team of 250+ consultants ensures seamless integration and customisation, so you can focus on what truly matters.

#HigherEdTech #GrantsNow #GrantManagement #Automation #Efficiency #SeamlessIntegration","Managing integrations, reports, and configurations in-house can drain valuable time and resources. With GrantsNow, you d",120,2025-08-11,Monday,2025-08-11/2025-08-17,0,Organic,Image or text,,False,330,,3,9,0,0,9,12,0.03636363636363636,0.00909090909090909,0.0,0.0,338,42,2,6,"HigherEdTech, GrantsNow, GrantManagement, Automation, Efficiency, SeamlessIntegration",0,0,0,0,none,product_capability,Short (25-60w)
7364613079155777536,https://www.linkedin.com/feed/update/urn:li:activity:7364613079155777536,"Looking for a single cloud platform to manage BOTH Pre & Post Awards, including Ethics & Contracts? GrantsNow delivers it all—fully integrated, highly configurable, and built on modern Oracle Cloud technology!

Get in touch: https://lnkd.in/dU2Brsef 

#grantsnow #grantsmanagement #preawards #postwards #cloud #SaaS","Looking for a single cloud platform to manage BOTH Pre & Post Awards, including Ethics & Contracts? GrantsNow delivers i",120,2025-08-22,Friday,2025-08-18/2025-08-24,0,Organic,Image or text,,False,124,,4,3,0,0,3,7,0.056451612903225805,0.03225806451612903,0.0,0.0,315,41,4,6,"grantsnow, grantsmanagement, preawards, postwards, cloud, SaaS",1,0,0,1,contact,other,Short (25-60w)
7365765679645396992,https://www.linkedin.com/feed/update/urn:li:activity:7365765679645396992,"The wrong Pre-Awards platform means hidden costs, manual updates, delays, and a higher total cost of ownership. GrantsNow’s TRUE SaaS solution gives you full control, instant upgrades, and zero hidden fees. Read the blog to know how: https://lnkd.in/eqK3_-vN 

#grantsmanagement #armauk #grantsnow #preawards #research","The wrong Pre-Awards platform means hidden costs, manual updates, delays, and a higher total cost of ownership. GrantsNo",120,2025-08-25,Monday,2025-08-25/2025-08-31,0,Organic,Image or text,,False,104,,15,3,0,0,3,18,0.17307692307692307,0.14423076923076922,0.0,0.0,318,43,2,5,"grantsmanagement, armauk, grantsnow, preawards, research",1,0,0,0,read,pain_point,Short (25-60w)
7366061906937262080,https://www.linkedin.com/feed/update/urn:li:activity:7366061906937262080,"Searching for the next generation in pre-awards software? GrantsNow is here now, making pre and post-award administration faster, more automated and better integrated.

#GrantsNow #PreAwardSoftware #PostAwardManagement #ResearchGrants #HigherEdTech #UKUniversities #SmartFunding #FutureReady","Searching for the next generation in pre-awards software? GrantsNow is here now, making pre and post-award administratio",120,2025-08-26,Tuesday,2025-08-25/2025-08-31,1,Organic,Image or text,,False,120,,1,4,0,0,4,5,0.041666666666666664,0.008333333333333333,0.0,0.0,291,31,2,8,"GrantsNow, PreAwardSoftware, PostAwardManagement, ResearchGrants, HigherEdTech, UKUniversities, SmartFunding, FutureReady",0,0,0,1,none,product_capability,Short (25-60w)
7366424280894447618,https://www.linkedin.com/feed/update/urn:li:activity:7366424280894447618,"GrantsNow is empowering research teams to work smarter, not harder. Discover why UK institutions are opting for a platform designed for outcomes, not workarounds. Get in touch: https://lnkd.in/dU2Brsef

#GrantsNow #PreAwardSoftware #ResearchManagement #HigherEdTech #TrueSaaS #UKUniversities","GrantsNow is empowering research teams to work smarter, not harder. Discover why UK institutions are opting for a platfo",120,2025-08-27,Wednesday,2025-08-25/2025-08-31,1,Organic,Image or text,,False,110,,2,4,0,0,4,6,0.05454545454545454,0.01818181818181818,0.0,0.0,291,34,2,6,"GrantsNow, PreAwardSoftware, ResearchManagement, HigherEdTech, TrueSaaS, UKUniversities",1,0,0,0,contact,thought_leadership,Short (25-60w)
