post_id,Post link,post_text,hook,hook_len,created_date,day_of_week,week,is_midweek,Post type,format_inferred,Content Type,Impressions,Views,Clicks,Likes,Comments,Reposts,reactions_total,engagements_total,engagement_rate,ctr,amplification_rate,conversation_rate,char_count,word_count,line_breaks,hashtag_count,hashtag_list,has_link,mention_count,emoji_count,has_question,cta_type,theme,length_band
7472536161136193536,https://www.linkedin.com/feed/update/urn:li:activity:7472536161136193536,"ARMA 2026 is here!

Look forward to speaking with our clients and the ARMA community on how we can improve the efficiency of the Research Office.

See you in Harrogate.
",ARMA 2026 is here!,18,2026-06-16,Tuesday,2026-06-15/2026-06-21,1,Organic,Image or text,,83,,4,2,0,0,2,6,0.07228915662650602,0.04819277108433735,0.0,0.0,169,30,5,0,,0,0,0,0,none,event_presence,Short (25-60w)
7472680964054384640,https://www.linkedin.com/feed/update/urn:li:activity:7472680964054384640,"We are now in Harrogate!
Looking forward to ARMA

ARMA UK (Association of Research Managers and Administrators) 

#GrantsNow #ARMA2026",We are now in Harrogate!,24,2026-06-16,Tuesday,2026-06-15/2026-06-21,1,Organic,Image or text,,715,,26,40,0,2,42,68,0.0951048951048951,0.03636363636363636,0.002797202797202797,0.0,134,19,5,2,"GrantsNow, ARMA2026",0,0,0,0,none,event_presence,Very short (<25w)
7472551067826814976,https://www.linkedin.com/feed/update/urn:li:activity:7472551067826814976,,,0,2026-06-16,Tuesday,2026-06-15/2026-06-21,1,Organic,Article,Article,201,158.0,1,9,0,0,9,10,0.04975124378109453,0.004975124378109453,0.0,0.0,0,0,0,0,,0,0,0,0,none,other,Very short (<25w)
7472915819149189122,https://www.linkedin.com/feed/update/urn:li:activity:7472915819149189122,"The GrantsNow team enjoyed the ARMA Pub Quiz last night
We need to do more research on the local area before next year, so we can improve our score...

#GrantsNow #ARMA #ARMA2026 ",The GrantsNow team enjoyed the ARMA Pub Quiz last night,55,2026-06-17,Wednesday,2026-06-15/2026-06-21,1,Organic,Image or text,,891,,95,31,0,0,31,126,0.1414141414141414,0.10662177328843996,0.0,0.0,179,32,3,3,"GrantsNow, ARMA, ARMA2026",0,0,0,0,none,event_presence,Short (25-60w)
7473096663725707265,https://www.linkedin.com/feed/update/urn:li:activity:7473096663725707265,"We are at ARMA! Come meet the team at our desk!

ARMA UK (Association of Research Managers and Administrators)

#ARMA #GrantsNow",We are at ARMA! Come meet the team at our desk!,47,2026-06-17,Wednesday,2026-06-15/2026-06-21,1,Organic,Image or text,,1244,,72,36,0,3,39,111,0.08922829581993569,0.05787781350482315,0.002411575562700965,0.0,128,21,4,2,"ARMA, GrantsNow",0,0,0,0,none,event_presence,Very short (<25w)
7473373602705248256,https://www.linkedin.com/feed/update/urn:li:activity:7473373602705248256,"It was lovely meeting and chatting with everyone in person at ARMA. 

#GrantsNow #ARMA ",It was lovely meeting and chatting with everyone in person at ARMA. ,68,2026-06-18,Thursday,2026-06-15/2026-06-21,1,Organic,Image or text,,854,,44,33,1,0,34,78,0.09133489461358314,0.05152224824355972,0.0,0.00117096018735363,87,14,2,2,"GrantsNow, ARMA",0,0,0,0,none,event_presence,Very short (<25w)
7473645838729109504,https://www.linkedin.com/feed/update/urn:li:activity:7473645838729109504,"ARMA Wrap from GrantsNow...

We had a great few days with the ARMA community in Harrogate. We met with our clients, prospects and friends in the world of Research Administration.
GrantsNow continues to help to achieve great efficiency and more funding for Research Organisations across the globe.
See you in Birmingham in 2027!

#ARMA #ARMA2026 #GrantsNow",ARMA Wrap from GrantsNow...,27,2026-06-19,Friday,2026-06-15/2026-06-21,0,Organic,Image or text,,1453,,1176,47,1,1,49,1225,0.8430832759807295,0.8093599449415003,0.0006882312456985547,0.0006882312456985547,355,56,6,3,"ARMA, ARMA2026, GrantsNow",0,0,0,0,none,event_presence,Short (25-60w)
7473698646396555264,https://www.linkedin.com/feed/update/urn:li:activity:7473698646396555264,"Congratulations to Wellcome Sanger Institute for winning the Innovation in Research Management Award at ARMA 2026. 

#ARMA #ARMA2026 #GrantsNow ",Congratulations to Wellcome Sanger Institute for winning the Innovation in Research Management Award at ARMA 2026. ,115,2026-06-19,Friday,2026-06-15/2026-06-21,0,Organic,Image or text,,741,,76,32,1,0,33,109,0.14709851551956815,0.10256410256410256,0.0,0.001349527665317139,144,19,2,3,"ARMA, ARMA2026, GrantsNow",0,0,0,0,none,event_presence,Very short (<25w)
7474831101769912320,https://www.linkedin.com/feed/update/urn:li:activity:7474831101769912320,"We know every funder has different rules, manually looking this up over lots of funders takes up valuable time.

GrantsNow's AI does the checking instantly, so your researchers spend their time writing, not reading guidance notes.

Book a demo: https://lnkd.in/dU2Brsef 
#GrantsManagement #AIinResearch #PreAward #ResearchOffice #UKUniversities","We know every funder has different rules, manually looking this up over lots of funders takes up valuable time.",111,2026-06-22,Monday,2026-06-22/2026-06-28,0,Organic,Image or text,,147,,8,6,0,1,7,15,0.10204081632653061,0.05442176870748299,0.006802721088435374,0.0,344,45,5,5,"GrantsManagement, AIinResearch, PreAward, ResearchOffice, UKUniversities",1,0,0,0,book_demo,product_capability,Short (25-60w)
7476203732867735552,https://www.linkedin.com/feed/update/urn:li:activity:7476203732867735552,"Still managing grants across emails, spreadsheets, and disconnected systems? Learn how universities are simplifying the grants lifecycle with a single, integrated platform.
Download the whitepaper: https://lnkd.in/g8AanByU

#GrantsNow #Research #Universities ","Still managing grants across emails, spreadsheets, and disconnected systems? Learn how universities are simplifying the ",120,2026-06-26,Friday,2026-06-22/2026-06-28,0,Organic,Image or text,,136,,12,7,0,1,8,20,0.14705882352941177,0.08823529411764706,0.007352941176470588,0.0,259,29,3,3,"GrantsNow, Research, Universities",1,0,0,1,download,pain_point,Short (25-60w)
